student.id,generation,educational.model,level,gender,age,max.degree.parents,father.education.complete,father.education.summary,mother.education.complete,mother.education.summary,parents.exatec,father.exatec,mother.exatec,tec.no.tec,foreign,zone.type,first.generation,school,program,region,PNA,admission.test,online.test,english.evaluation,admission.rubric,general.math.eval,retention,FTE,scholarship.perc,scholarship.type,loan.perc,total.scholarship.loan,school.cost,id.school.origin,socioeconomic.level,social.lag,average.first.period,failed.subject.first.period,dropped.subject.first.period,dropout.semester,physical.education,cultural.diffusion,student.society,total.life.activities,athletic.sports,art.culture,student.society.leadership,life.work.mentoring,wellness.activities
113164,AD20,1,High School,Male,15,PhD,Received PhD,PhD,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RO,89,1010,0,4,36,Does not apply,1,1,0,No scholarship,0,0,Medium high cost,School 191,No information,No information,"92,5",0,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
104792,AD20,1,Undergraduate,Male,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,No,EIC,IIT,RCS,81,1200,0,1,42,29.5,1,"0,5",0,No scholarship,0,0,Medium cost,School 7151,Level 6,Low,91,0,0,0,Does not apply,Does not apply,Does not apply,2,0,0,1,0,1
48978,AD17,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No,No,No,TEC,Local,No information,No information,EN,LPM,RM,"83,36",Does not apply ,0,4,,72,1,"1,25",0,No scholarship,0,0,High cost,School 7371,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
68499,AD15,0,Undergraduate,Male,18,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,EIC,IIS,RM,"83,41",Does not apply ,0,6,,73.5,1,"1,08","0,2",Traditional,"0,2","0,400034228",High cost,School 5314,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
30080,AD15,0,Undergraduate,Female,17,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,EIC,IC,RO,"85,91",Does not apply ,0,6,,83,1,"1,08","0,1",Traditional,"0,1","0,199995924",High cost,School 5315,No information,No information,,,,0,0,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
84618,AD15,0,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Graduated from high school,No degree,Yes,Yes,No,NO TEC,Local,No information,Does not apply,High school,PBB,RO,94,1257,0,0,30,Does not apply,1,1,"0,4",Academic talent,0,"0,4",Medium high cost,School 4206,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
69653,AD20,1,Undergraduate,Male,18,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,Yes,No,Yes,TEC,Yes: National,Urban,No,EIC,ICT,RM,"86,92",Does not apply ,0,7,36,48.08388101,1,"0,96",0,Leadership talent,0,0,Medium cost,School 2944,No information,No information,"92,5",0,0,0,Does not apply,Does not apply,Does not apply,1,0,0,0,0,1
109235,AD19,1,Undergraduate,Female,18,Master degree,Received master degree,Master degree,Received master degree,Master degree,No,No,No,TEC,Local,Urban,No,EIC,ICI,RCS,92,1490,0,7,40,92,1,1,"0,45",Traditional,"0,25","0,7",High cost,School 7540,Level 6,Low,86,0,0,0,Does not apply,Does not apply,Does not apply,4,1,1,1,0,1
68853,AD14,0,Undergraduate,Male,17,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Local,No information,No information,EIC,IMT,RM,82,1193,0,3,11,72,1,"1,08","0,25",Sports talent,"0,25","0,500055884",Low cost,School 5382,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
2114,AD17,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No,No,No,NO TEC,Yes: National,No information,No information,EIC,ISC,RO,"87,3",1378,0,5,31,60,1,"1,25",0,No scholarship,0,0,Public,School 6848,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
87693,AD18,0,High School,Female,16,Undergraduate degree,"Attended university, but did not graduate",No degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RO,88,1058,0,0,27,Does not apply,1,1,0,No scholarship,0,0,High cost,School 4557,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
121421,AD20,1,Undergraduate,Male,18,Master degree,Received master degree,Master degree,Received master degree,Master degree,No,No,No,NO TEC,Local,Urban,No,EN,NEG,RCM,85,80,1,6,40,40.25,0,"0,56",0,No scholarship,0,0,High cost,School 5923,Level 7,Low,96,0,0,2,Does not apply,Does not apply,Does not apply,2,0,0,0,1,1
85738,AD19,1,Undergraduate,Male,18,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,Yes,Yes,No,TEC,Local,No information,No,EMCS,SLD,RO,95,1420,0,7,30,96,1,"1,1","0,25",Traditional,"0,25","0,5",High cost,School 5337,No information,No information,"83,75",1,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
3838,AD18,0,Undergraduate,Male,17,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No information,No information,No information,TEC,Local,No information,No,EN,LAF,RO,"85,05",Does not apply ,0,7,,87.5,0,"1,08","0,15",Traditional,"0,15","0,29997499",High cost,School 7351,No information,No information,,,,4,Does not apply,Does not apply,Does not apply,3,0,0,1,1,1
13911,AD20,1,Undergraduate,Male,19,Master degree,Received undergraduate degree,Undergraduate degree,Received master degree,Master degree,No,No,No,NO TEC,Yes: Foreigner,No information,No,EIC,IIT,RM,"76,71",1320,0,6,50,43.25,1,1,0,No scholarship,0,0,Not defined,School 6189,No information,No information,"93,5",0,0,0,Does not apply,Does not apply,Does not apply,0,0,0,0,0,0
45497,AD18,0,Undergraduate,Female,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,No information,No,ECSG,LDP,RCS,81,Does not apply ,0,7,,70.5,1,"0,92",0,No scholarship,0,0,High cost,School 5327,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,0,0,1,0
68290,AD16,0,Undergraduate,Female,19,No information,No information,No information,No information,No information,No,No,No,NO TEC,Local,No information,No information,EN,LPO,RCM,"84,5",1175,0,5,50,No information,1,"1,08",0,No scholarship,0,0,High cost,School 8856,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
1034,AD20,1,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Yes,No,Yes,NO TEC,Local,Urban,Does not apply,High school,PTM,DR,86,1060,0,5,29,Does not apply,1,1,0,No scholarship,0,0,Medium cost,School 3026,Level 7,Low,"86,5",0,0,0,Does not apply,Does not apply,Does not apply,2,1,0,1,0,0
82460,AD20,1,High School,Female,15,PhD,Received master degree,Master degree,Received PhD,PhD,Yes,No,Yes,NO TEC,Local,Urban,Does not apply,High school,PBB,RCS,92,960,0,3,30,Does not apply,1,1,"0,3",Traditional,0,"0,3",Medium cost,School 371,No information,No information,"91,5",0,0,0,Does not apply,Does not apply,Does not apply,3,1,1,0,0,1
52037,AD15,0,Undergraduate,Male,19,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,EIC,IIS,RCS,"84,93",Does not apply ,0,6,,71,1,"0,92","0,25",Traditional,"0,25","0,500048152",High cost,School 7540,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
118833,AD20,1,Undergraduate,Female,17,Master degree,Received undergraduate degree,Undergraduate degree,Received master degree,Master degree,No,No,No,NO TEC,Yes: National,Urban,No,EHE-EAAD,ESC,RCM,"91,28",1320,0,6,34,36.25,1,1,"0,35",Traditional,0,"0,35",Medium cost,School 5753,No information,No information,97,0,0,0,Does not apply,Does not apply,Does not apply,1,0,0,0,0,1
53098,AD15,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Yes: National,No information,No information,EIC,ISD,RCS,98,1487,0,6,30,96,1,"1,08","0,6",Academic talent,"0,1","0,699995924",High cost,School 5799,No information,No information,,,,0,0,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
52429,AD14,0,Undergraduate,Male,17,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Yes: National,No information,No information,EIC,IDA,RCS,90,1317,0,5,12,40,1,"1,08","0,15",Traditional,"0,15","0,300022366",Medium cost,School 7855,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
