Solicitud_id,Aprobado,Hit_Buro_Huella,Malo,Num_IQ_U3M_PL_Financieras,Edad_cliente,Porcentaje_cuentas_abiertas,Num_IQ_U3M,Num_IQ_U3M_TDC_Banco,MaxMOP_U3M,Saldo_actual_prest_personales,Num_IQ_U3M_Prest_personales,Ingreso_Bruto,Número_ctas_atraso_prest_personales_U3M,Número_ctas_atraso_TdC_U3M,Ctas_ab_U18M_TDC_Banco,Num_ctas_prest_pers,Flag_prest_nómina,Meses_cta_más_antig,Flag_fraude_prest_nomina,Flag_fraude_hipotecario,Flag_quebranto_prest_personal,Entidad_federativa,Tipo_suscripcion,Status,Antigüedad_uso_linea_celular,Gasto_mensual_telefonia,Actividad_usuario,Cambio_SIM_U3M,Variable_37,Gasto_ultimos_60_días,Score_FPD,Rango_dispositivo,Adopcion_tecno,Score_incumplimiento,Tasa_contactacion,Calidad_telefonica,Score_contabilidad_entrante,Score_contabilidad_saliente,Disciplina_tech,Cluster_sucursales
5845594,1,11,0,1,68,0.375,7,2,9,52356,2,6228.47,0,1,-2,5,-2,2,0,-2,0,PUE,PREPAGO,1,37,8,5,0,19,8,369,-1,-1,575,580,743,2,2,62,1
5845784,1,11,1,2,66,0.21875,5,2,9,141582,2,28505.38,0,3,0,3,-2,1,0,-2,0,BCN,PREPAGO,1,70,10,6,0,30,12,450,-1,-1,580,627,803,4,4,48,1
5845803,1,10,0,-2,64,0.857142857,3,-2,9,68767,1,3773.37,0,-2,-2,4,-2,18,0,0,0,CDMX,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
5845974,1,10,0,-2,61,0.5,1,-2,9,-2,1,4415.25,0,-2,-2,1,-2,15,-2,-2,0,COA,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5846012,1,10,0,-2,63,0.333333333,2,1,9,19049,1,3947.77,1,-2,-2,1,-2,58,-2,-2,-2,CAM,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5846126,1,11,0,-2,47,0.12987013,3,-2,9,12894,2,5836.49,6,-2,-2,48,-2,4,-2,0,0,OAX,PREPAGO,1,62,6,5,0,19,6,460,8,5,573,640,750,3,3,54,3
5846354,1,11,0,1,57,0.172413793,7,2,9,70592,2,5406.1,0,1,0,16,-2,1,0,-2,0,SIN,PREPAGO,1,47,7,6,0,23,7,413,5,7,575,610,774,3,3,50,3
5846430,1,11,0,-2,63,0.25,1,-2,9,-2,1,3947.77,-2,-2,-2,-2,-2,1,0,-2,-2,GTO,PREPAGO,1,56,3,2,0,19,3,399,-1,-1,585,608,737,2,0,1,2
5846582,1,11,0,-2,66,0.5,1,-2,9,-2,1,3119.74,0,0,0,2,-2,45,0,0,-2,CHI,PREPAGO,1,23,7,6,0,15,7,305,4,5,559,584,751,3,2,51,3
5846696,1,11,1,1,55,0.173913044,4,-2,9,126133,2,7262.2,2,1,0,18,-2,4,0,-2,0,VER,PREPAGO,1,41,4,4,0,22,4,349,-1,-1,578,569,745,2,2,57,3
5846715,1,11,0,-2,43,1,1,-2,2,178280,1,5679.99,2,-2,-2,257,-2,7,-2,0,-2,SON,MIXTO,1,91,-1,6,0,20,7,425,4,5,601,652,813,3,3,-2,3
