solicitud_id,aprobado,hit_buro_huella,malo,num_iq_u3m_pl_financieras,edad_cliente,porcentaje_cuentas_abiertas,num_iq_u3m,num_iq_u3m_tdc_banco,maxmop_u3m,saldo_actual_prest_personales,num_iq_u3m_prest_personales,ingreso_bruto,numero_ctas_atraso_prest_personales_u3m,numero_ctas_atraso_tdc_u3m,ctas_ab_u18m_tdc_banco,num_ctas_prest_pers,flag_prest_nomina,meses_cta_mas_antig,flag_fraude_prest_nomina,flag_fraude_hipotecario,flag_quebranto_prest_personal,entidad_federativa,tipo_suscripcion,footprint_status,footprint_antiguedad_uso_linea_celular,footprint_gasto_mensual_telefonia,footprint_actividad_usuario,footprint_cambio_sim_u3m,footprint_variable_37,footprint_gasto_ultimos_60_dias,footprint_score_fpd,footprint_rango_dispositivo,footprint_adopcion_tecno,footprint_score_incumplimiento,footprint_tasa_contactacion,footprint_calidad_telefonica,footprint_score_contactabilidad_entrante,footprint_score_contactabilidad_saliente,footprint_disciplina_tech,footprint_cluster_sucursales,region
5717971.0,1,11,0,2,65,0.333333333,9,-2,3,234963,3,29011.0,1,0,1,2,-2,5,0,-2,-2,PUE,PREPAGO,1,24,6,3,0,25,6,391,7,5,603,575,708,2,2,13,3,Centro
5718256.0,1,11,0,-2,63,0.5,1,-2,9,-2,1,3275.77,-2,0,-2,-2,-2,165,-2,-2,-2,NL,MIXTO,1,65,-1,5,2,20,7,509,-1,-1,588,627,743,3,3,-2,1,Noreste
5718294.0,1,11,0,-2,62,0.107142857,1,-2,5,365382,1,27264.42,0,0,0,95,-2,3,-2,-2,0,SIN,PREPAGO,1,66,6,4,0,20,6,402,-1,-1,604,601,716,3,2,85,1,Noroeste
5718484.0,1,11,0,-2,60,0.833333333,2,-2,1,-2,1,4085.76,-2,0,-2,-2,-2,6,-2,0,-2,NL,PREPAGO,1,55,5,3,0,22,5,372,-1,-1,577,625,722,3,3,64,1,Noreste
5718864.0,1,11,0,-2,61,0.08,2,1,9,-2,1,5136.25,0,2,0,17,-2,15,-2,-2,0,YUC,PREPAGO,1,48,4,3,0,20,4,456,3,4,577,577,747,2,1,62,1,Sur-Sureste
5718883.0,1,11,1,1,64,0.461538462,11,2,9,453329,2,9474.32,5,1,0,11,-2,7,-2,-2,0,CDMX,PREPAGO,1,3,3,2,0,22,3,386,5,5,562,646,648,2,2,1,3,Centro
5719111.0,1,11,0,-2,77,0.0,3,-2,0,-2,1,3178.7,-2,-2,-2,-2,-2,42,0,-2,-2,COA,PREPAGO,1,12,3,3,0,20,3,357,-1,-1,552,573,672,2,2,1,1,Noreste
5719491.0,1,11,0,-2,61,0.192307692,9,3,1,75056,2,9801.33,0,0,0,25,-2,4,0,0,0,CDMX,MIXTO,1,78,-1,5,0,20,7,570,4,6,595,647,788,3,2,-2,3,Centro
5719605.0,1,11,0,-2,63,0.636363636,4,-2,2,113754,1,3601.62,0,1,0,5,-2,1,0,-2,0,CHI,PREPAGO,1,44,8,5,0,20,8,303,4,5,562,585,762,3,3,46,3,
5719852.0,1,11,0,-2,61,0.2,1,-2,7,6481,1,8448.12,1,0,0,6,-2,34,0,0,-2,COA,PREPAGO,1,16,5,5,0,19,5,433,6,6,575,593,728,3,3,59,3,Noreste
5720061.0,1,11,0,-2,61,1.0,2,-2,9,-2,1,5136.25,-2,1,-2,-2,-2,45,-2,0,-2,NL,PREPAGO,1,50,8,6,0,22,9,393,-1,-1,575,605,777,3,3,54,1,Noreste
5720118.0,1,11,0,-2,69,0.222222222,1,-2,1,-2,1,29084.8,0,0,0,4,-2,24,0,-2,0,YUC,PREPAGO,1,72,8,5,0,24,8,545,5,7,641,636,792,3,3,63,1,Sur-Sureste
5720365.0,1,11,0,-2,72,0.166666667,1,-2,1,-2,1,3184.31,0,0,-2,2,-2,25,0,-2,0,SIN,PREPAGO,1,46,6,3,0,21,6,379,1,7,542,587,695,3,3,58,3,Noroeste
5720384.0,1,11,0,-2,58,0.3,1,-2,1,12138,1,19975.05,0,0,0,2,-2,1,-2,0,0,JAL,POSPAGO,1,76,-1,5,0,20,6,422,-1,-1,666,678,825,2,2,-3,1,Occidente
5720878.0,1,11,0,-2,61,0.416666667,3,-2,9,-2,1,3600.0,0,3,0,3,-2,65,-2,0,-2,NL,PREPAGO,1,67,6,4,0,20,6,393,5,7,609,606,761,2,2,57,1,Noreste
5721220.0,1,11,0,-2,61,0.222222222,2,-2,1,13244,1,10296.44,0,0,0,7,-2,20,0,-2,0,PUE,PREPAGO,1,69,5,3,0,18,5,396,-1,-1,602,646,746,2,1,54,3,Centro
5721429.0,1,11,0,1,56,0.357142857,7,-2,9,410354,2,21513.02,0,-2,-2,8,-2,3,-2,-2,0,EM,POSPAGO,1,54,-1,6,0,20,9,505,6,6,610,691,821,3,2,-3,3,
5721448.0,1,11,0,-2,62,0.333333333,3,-2,9,13307,1,4607.09,1,-2,-2,3,-2,45,-2,-2,1,SON,PREPAGO,1,63,5,6,0,22,5,417,5,4,559,621,737,3,3,100,1,Noroeste
5721695.0,1,11,0,1,60,0.058823529,5,-2,1,59254,2,5836.52,0,0,-2,39,1,3,-2,0,0,SON,PREPAGO,1,25,6,3,0,19,6,398,-1,-1,538,611,713,3,3,62,1,Noroeste
5721771.0,1,11,0,-2,62,0.428571429,2,1,9,29814,1,4607.09,0,0,-2,1,-2,12,-2,0,-2,JAL,PREPAGO,1,50,7,6,0,17,7,363,5,6,589,630,764,3,3,100,1,Occidente
5722189.0,1,11,0,-2,70,0.217391304,3,1,9,6263,1,2951.89,4,-2,-2,9,-2,2,0,-2,-2,VER,PREPAGO,1,33,5,2,0,21,5,373,3,9,560,541,680,2,1,50,3,Noreste
5722208.0,1,11,0,-2,62,0.285714286,1,-2,7,17628,1,4440.99,0,2,1,2,1,1,-2,-2,0,CDMX,PREPAGO,1,41,6,5,1,21,6,464,6,7,580,613,739,2,2,71,3,Centro
5722341.0,1,11,1,1,66,0.266666667,10,-2,9,137870,4,2527.73,5,1,-2,25,-2,20,-2,-2,0,CDMX,PREPAGO,1,68,5,3,0,18,5,441,4,7,589,585,753,0,0,35,3,Centro
